start,end,duration
79.49278911564626,271.47537414965984,191.9825850340136
1153.5775056689342,1355.0592290249433,201.48172335600907
1576.288344671202,1717.5255328798187,141.23718820861677
1941.470022675737,2128.203083900227,186.7330612244898
2734.860045351474,2934.091972789116,199.23192743764184
3297.854603174603,3435.5921088435375,137.73750566893432
3822.88462585034,4017.366984126984,194.48235827664394
4526.047346938775,4713.780317460318,187.73297052154248
5157.011519274376,5316.4970521541945,159.4855328798185
6552.228027210884,6746.960362811791,194.7323356009074
6904.168344671201,7037.406258503402,133.23791383220032
