date,block_start,block_end,ad_start,ad_end,company,product,
20260112,0.0,39.70,0.0,21.03,KBS플러스,KBS플러스,
20260112,0.0,39.70,21.03,39.70,이은지의가요광장,시작고정BGM,
20260112,723.08,780.71,723.08,743.05,경기주택도시공사,경기주택도시공사,
20260112,723.08,780.71,743.05,762.92,리퍼브,리퍼브,
20260112,723.08,780.71,762.92,780.71,이은지의가요광장,오프닝송,
20260112,1720.09,1842.56,1720.09,1740.04,경리나라,경리나라,
20260112,1720.09,1842.56,1740.04,1759.96,노원아트뮤지엄,인상파 전시,
20260112,1720.09,1842.56,1759.96,1800.14,오마이걸효정의볼륨을높여요,이현우의음악앨범,
20260112,1720.09,1842.56,1800.14,1820.03,기프트인포,판촉물,
20260112,1720.09,1842.56,1820.03,1842.56,이은지의가요광장,노래,
20260112,3023.73,3161.94,3023.73,3044.07,미래에셋증권,디지털연금투자,
20260112,3023.73,3161.94,3044.07,3064.04,고려기프트,굿즈,
20260112,3023.73,3161.94,3064.04,3084.04,금비,성인용 기저귀,
20260112,3023.73,3161.94,3084.04,3104.02,베스트슬립,침대매트리스,
20260112,3023.73,3161.94,3104.02,3124.02,넥시안,블랙박스,
20260112,3023.73,3161.94,3124.02,3143.86,경기주택도시공사,경기주택도시공사,
20260112,3023.73,3161.94,3143.86,3161.94,이은지의가요광장,중반노래,
20260112,3515.16,3653.63,3515.16,3535.16,마리오아울렛,마리오아울렛,
20260112,3515.16,3653.63,3535.16,3555.15,수원여자대학교,수원여자대학교,
20260112,3515.16,3653.63,3555.15,3595.69,KBS쿨FM,하하의슈퍼라디오,
20260112,3515.16,3653.63,3595.69,3622.14,KBS플러스,KBS플러스,
20260112,3515.16,3653.63,3622.14,3653.63,이은지의가요광장,후반송,
20260112,3808.12,3967.95,3808.12,3827.79,메디힐,토너패드,
20260112,3808.12,3967.95,3827.79,3867.52,한국수자원공사,캠페인,
20260112,3808.12,3967.95,3867.52,3888.09,신한,위기가정지원사업,
20260112,3808.12,3967.95,3888.09,3908.08,일양약품,일양약품,
20260112,3808.12,3967.95,3908.08,3928.09,현대자동차,더 뉴 스타리아 라운지,
20260112,3808.12,3967.95,3928.09,3948.09,땅스부대찌개,땅스부대찌개,
20260112,3808.12,3967.95,3948.09,3967.95,보배반점,보배반점,
20260112,5320.12,5420.41,5320.12,5340.08,경리나라,경리나라, 
20260112,5320.12,5420.41,5340.08,5360.04,노원아트뮤지엄,인상파 전시,
20260112,5320.12,5420.41,5360.04,5400.52,KBS쿨FM,하하의슈퍼라디오,
20260112,5320.12,5420.41,5400.52,5420.41,기프트인포,판촉물,
20260112,6875.76,6989.55,6875.76,6989.55,가요광장,협찬경품안내,
20260112,7115.15,7210.00,7115.15,7135.61,성원애드피아,캘린더,
20260112,7115.15,7210.00,7135.61,7153.91,올리디아,올리디아,
20260112,7115.15,7210.00,7153.91,7189.19,박명수의라디오쇼,박명수의라디오쇼,
20260112,7115.15,7210.00,7189.19,7210.00,KBS플러스,KBS플러스,
