date,block_start,block_end,ad_start,ad_end,company,product,
20241121,0.0,50.49,0.0,9.40,환경부와 환경책임보험사업단,캠페인,
20241121,0.0,50.49,9.40,29.18,코지마,안마의자,
20241121,0.0,50.49,29.18,33.03,SBS,고릴라광고짧은음원,
20241121,0.0,50.49,33.03,50.49,박하선의씨네타운,오프닝곡,
20241121,435.87,599.13,435.87,457.55,NH투자증권,퇴직연금,
20241121,435.87,599.13,457.55,468.30,롯데렌탈,롯데비즈렌탈,
20241121,435.87,599.13,468.30,495.30,보건복지부,긴급복지지원,
20241121,435.87,599.13,495.30,514.32,현대자동차,포터전기차,
20241121,435.87,599.13,514.32,535.33,문산역3차동문디이스트센트럴,문산역3차동문디이스트센트럴,
20241121,435.87,599.13,535.33,555.20,신한,신한 프리미어,
20241121,435.87,599.13,555.20,575.74,삼성증권,퇴직연금,
20241121,435.87,599.13,575.74,599.13,박하선의씨네타운,배우중간곡,
20241121,1662.00,1837.55,1662.00,1722.71,닥터피엘,이중필터샤워기,
20241121,1662.00,1837.55,1722.71,1725.53,SBS,고릴라광고짧은음원,
20241121,1662.00,1837.55,1725.53,1744.34,친환경농산물자조금관리위원회,친환경농산물,
20241121,1662.00,1837.55,1744.34,1764.76,포항,구룡포 해양미식축제,
20241121,1662.00,1837.55,1764.76,1785.13,SBS,유니버스 리그,
20241121,1662.00,1837.55,1785.13,1804.88,블루스퀘어,콘서트,
20241121,1662.00,1837.55,1804.88,1825.06,SBS,고릴라광고,
20241121,1662.00,1837.55,1825.06,1835.54,SBS,고릴라광고짧은음원,
20241121,1662.00,1837.55,1835.54,1837.55,SBS,SBS짧은음원,
20241121,1896.21,1925.82,1896.21,1925.82,박하선의씨네타운,중간곡,
20241121,3063.00,3272.71,3063.00,3083.21,가마치통닭,가마치통닭,
20241121,3063.00,3272.71,3083.21,3102.82,고려기프트,판촉물,
20241121,3063.00,3272.71,3102.82,3119.42,미래에셋증권,퇴직연금,
20241121,3063.00,3272.71,3119.42,3143.08,KB국민은행,KB스타뱅킹,
20241121,3063.00,3272.71,3143.08,3162.58,신한,신한 프리미어,
20241121,3063.00,3272.71,3162.58,3182.57,새만금개발공사,새만금수변도시,
20241121,3063.00,3272.71,3182.57,3197.61,12시에주현영,12시에주현영,
20241121,3063.00,3272.71,3197.61,3272.71,씨네타운,협찬경품안내,
20241121,3446.00,3630.00,3446.00,3469.40,성원애드피아,캘린더,
20241121,3446.00,3630.00,3469.40,3489.78,고용노동부,직업병안심센터,
20241121,3446.00,3630.00,3489.78,3509.62,뮤지컬 리지,뮤지컬 리지,
20241121,3446.00,3630.00,3509.62,3529.43,삼진제약,게보린,
20241121,3446.00,3630.00,3529.43,3549.67,경기도,더경기패스,
20241121,3446.00,3630.00,3549.67,3587.87,한국도로공사,캠페인,
20241121,3446.00,3630.00,3587.87,3608.29,숭실사이버대학교,숭실사이버대학교,
20241121,3446.00,3630.00,3608.29,3630.00,SBS,틈만나면,
