date,broadcaster,gt_start,gt_end,overlap,gt_company,gt_product,pred_company,pred_product,company_sim,product_sim,company_correct,product_correct
20241125,baechulsu,12.3,41.05,0.581,배철수의라디오,오프닝곡,,,0.0,0.0,False,False
20241125,baechulsu,473.88,493.8,0.994,현대해상,하이카,현대해상,하이카,1.0,1.0,True,True
20241125,baechulsu,493.8,512.36,1.0,태극제약,벤트플라겔,약국,유의사항안내,1.0,0.4592,True,False
20241125,baechulsu,512.36,534.1,1.0,LG,힐링미 MX9,해그제약,마인드케어,0.1934,0.534,False,False
20241125,baechulsu,534.1,554.2,1.0,자코모,자코모,자코모,소파,1.0,0.6822,True,False
20241125,baechulsu,1723.69,1743.98,0.788,악보바다,악보바다,악보바다,뮤직디자이너,1.0,0.531,True,False
20241125,baechulsu,1743.98,1763.91,1.0,친환경농산물자조금관리위원회,친환경농산물,친환경농산물자조금관리위원회,캠페인,1.0,0.4801,True,False
20241125,baechulsu,1763.91,1782.5,1.0,로보로보,로보로보,코딩교육전문가,미래를준비하는,0.5032,0.5532,False,False
20241125,baechulsu,1782.5,1799.82,1.0,레이노,레이노썬팅,레이노,썬팅,1.0,0.9,True,True
20241125,baechulsu,1799.82,1818.94,0.585,MBC,날씨와생활,IBK기업은행,연금이지,0.1631,0.4878,False,False
20241125,baechulsu,2874.69,2894.4,0.883,미래에셋 증권,퇴직연금,미래에셋증권,퇴직연금,0.4334,1.0,False,True
20241125,baechulsu,2894.4,2914.24,1.0,동화약품,잇치페이스트,동화약품,리치 페이스트,1.0,0.2879,True,False
20241125,baechulsu,2914.24,2934.24,1.0,아이에스동서,아이에스동서,동화약품,리치 페이스트,0.3073,0.5784,False,False
20241125,baechulsu,2934.24,2954.49,1.0,신한은행,퇴직연금,신한은행,퇴직연금,1.0,1.0,True,True
20241125,baechulsu,2954.49,2974.31,1.0,다우닝,가죽소파,다우닝,가죽소파,1.0,1.0,True,True
