date,broadcaster,gt_start,gt_end,overlap,gt_company,gt_product,pred_company,pred_product,company_sim,product_sim,company_correct,product_correct
20241126,movie,11.18,30.96,1.0,코지마,안마의자,코지마,안마의자,1.0,1.0,True,True
20241126,movie,30.96,38.34,1.0,SBS,고릴라광고짧은음원,,,0.0,0.0,False,False
20241126,movie,38.34,51.81,1.0,박하선의씨네타운,오프닝곡,,,0.0,0.0,False,False
20241126,movie,799.35,819.44,1.0,NH투자증권,퇴직연금,,,0.0,0.0,False,False
20241126,movie,819.44,839.44,1.0,문산역3차동문디이스트센트럴,문산역3차동문디이스트센트럴,동문건설,동문디이스트,0.6447,0.9,False,True
20241126,movie,839.44,859.44,1.0,삼성증권,퇴직연금,삼성증권,퇴직연금,1.0,1.0,True,True
20241126,movie,859.44,879.44,1.0,신한,신한 프리미어,신한프리미어,자산관리,0.9,0.6985,True,False
20241126,movie,879.44,899.44,1.0,보건복지부,긴급복지지원,보건복지부,캠페인,1.0,0.5272,True,False
20241126,movie,899.44,919.44,1.0,신한은행,퇴직연금,신한은행,퇴직연금,1.0,1.0,True,True
20241126,movie,919.44,939.44,1.0,롯데렌탈,롯데비즈렌탈,롯데비즈렌탈,롯데비즈렌탈,1.0,1.0,True,True
20241126,movie,939.44,959.44,1.0,서울원,아이파크,HDC현대산업개발,서울원아이파크,0.2957,0.9,False,True
20241126,movie,959.44,979.34,1.0,제일헬스사이언스,케펜텍,캡핸,테크,0.409,0.5809,False,False
20241126,movie,979.34,999.34,1.0,현대자동차,현대안심PLUS할부,JLS,사이언스,0.2058,0.6057,False,False
20241126,movie,999.34,1019.44,1.0,박하선의씨네타운,배우중간곡,박하선의씨네타운,오프닝곡,1.0,0.8419,True,True
20241126,movie,1725.21,1727.21,1.0,SBS,고릴라광고짧은음원,,,0.0,0.0,False,False
20241126,movie,1727.21,1747.3,1.0,친환경농산물자조금관리위원회,친환경농산물,친환경농산물자조금관리위원회,캠페인,1.0,0.4801,True,False
20241126,movie,1747.3,1767.02,1.0,포항,구룡포 해양미식축제,구룡포,해양미식축제,0.7133,0.9,False,True
20241126,movie,1767.02,1787.12,1.0,SBS,유니버스 리그,우린,만났다,0.1599,0.3625,False,False
20241126,movie,1787.12,1806.62,1.0,뮤지컬,긴긴밤,링크아트센터,긴긴밤,0.6635,1.0,False,True
20241126,movie,1806.62,1826.5,1.0,SBS,고릴라광고,SBS,고릴라광고,1.0,1.0,True,True
20241126,movie,1826.5,1837.28,1.0,SBS,고릴라광고짧은음원,,,0.0,0.0,False,False
20241126,movie,1837.28,1839.47,1.0,SBS,SBS짧은음원,,,0.0,0.0,False,False
20241126,movie,1898.42,1927.68,1.0,박하선의씨네타운,중간곡,,,0.0,0.0,False,False
20241126,movie,2956.59,2976.73,1.0,가마치통닭,가마치통닭,,,0.0,0.0,False,False
20241126,movie,2976.73,2996.72,1.0,고려기프트,판촉물,,,0.0,0.0,False,False
20241126,movie,2996.72,3016.75,1.0,미래에셋증권,퇴직연금,미래에셋증권,퇴직연금,1.0,1.0,True,True
20241126,movie,3016.75,3036.69,1.0,KB국민은행,KB스타뱅킹,KB국민은행,스타뱅킹,1.0,0.9,True,True
20241126,movie,3036.69,3053.74,1.0,새만금개발공사,새만금수변도시,새만금개발공사,새만금수변도시,1.0,1.0,True,True
20241126,movie,3053.74,3076.75,1.0,코지마,안마의자,새만금개발공사,캠페인,0.6114,0.471,False,False
20241126,movie,3136.97,3151.16,1.0,12시에주현영,12시에주현영,SBS,주현영방송,0.1497,0.7015,False,False
20241126,movie,3151.16,3224.61,0.91,씨네타운,협찬경품안내,씨네타운,협찬경품안내,1.0,1.0,True,True
20241126,movie,3452.46,3471.82,1.0,성원애드피아,캘린더,성원에드피아,온라인줌,0.978,0.5734,True,False
20241126,movie,3471.82,3492.27,1.0,고용노동부,직업병안심센터,고용노동부,직업병안심센터,1.0,1.0,True,True
20241126,movie,3492.27,3511.87,1.0,뮤지컬 리지,뮤지컬 리지,두산,뮤지컬리지,0.4034,0.9656,False,True
20241126,movie,3511.87,3532.04,1.0,삼진제약,게보린,삼진제약,개보린,1.0,0.9403,True,True
20241126,movie,3532.04,3551.63,1.0,경기도,더경기패스,더경기패스,더경기패스,0.7236,1.0,False,True
20241126,movie,3551.63,3591.26,1.0,한국도로공사,캠페인,한국도로공사,캠페인,1.0,1.0,True,True
20241126,movie,3591.26,3610.99,1.0,숭실사이버대학교,숭실사이버대학교,스무스사이버대학교,숨쏴,0.8765,0.3423,True,False
20241126,movie,3610.99,3620.05,0.663,SBS,틈만나면,유현석의틈만나면,오프닝곡,0.1332,0.4516,False,False
