date,broadcaster,gt_start,gt_end,overlap,gt_company,gt_product,pred_company,pred_product,company_sim,product_sim,company_correct,product_correct
20260111,noon,0.0,21.03,0.715,KBS플러스,KBS플러스,KBS플러스,KBS플러스,1.0,1.0,True,True
20260111,noon,21.03,37.69,1.0,이은지의가요광장,시작고정BGM,이은지의가요광장,오프닝곡,1.0,0.707,True,False
20260111,noon,384.56,404.44,1.0,경기주택도시공사,경기주택도시공사,GH 경기주택도시공사,청년창업지원,0.9,0.7606,True,True
20260111,noon,404.44,424.45,1.0,리퍼브,리퍼브,리퍼브,개인맞춤형화장품,1.0,0.3197,True,False
20260111,noon,424.45,441.1,1.0,이은지의가요광장,오프닝송,이은지의가요광장,오프닝곡,1.0,0.9137,True,True
20260111,noon,1719.04,1739.04,0.552,경리나라,경리나라,격리회계프로그램,세계미술사,0.3021,0.3021,False,False
20260111,noon,1739.04,1758.99,1.0,노원아트뮤지엄,인상파 전시,노원아트뮤지엄,인상파전시,1.0,0.965,True,True
20260111,noon,1758.99,1799.02,1.0,오마이걸효정의볼륨을높여요,이현우의음악앨범,효정의볼륨을높여요,오프닝곡,0.9,0.6064,True,False
20260111,noon,1799.02,1819.08,1.0,기프트인포,판촉물,팡총물,대박날까불안하네,0.5615,0.3309,False,False
20260111,noon,1819.08,1840.81,1.0,이은지의가요광장,노래,이은지의가요광장,오프닝곡,1.0,0.6522,True,False
20260111,noon,3210.51,3230.51,1.0,미래에셋증권,디지털연금투자,미래에셋증권,디지털연금투자,1.0,1.0,True,True
20260111,noon,3230.51,3250.48,1.0,고려기프트,굿즈,굿즈업,청문,0.2652,0.3034,False,False
20260111,noon,3250.48,3270.58,1.0,금비,성인용 기저귀,금비금비,성인용 기저귀,0.9,1.0,True,True
20260111,noon,3270.58,3290.48,1.0,베스트슬립,침대매트리스,베스트슬립,침대매트리스,1.0,1.0,True,True
20260111,noon,3290.48,3310.58,1.0,넥시안,블랙박스,맥시암,스마트AI가디언스,0.7354,0.5425,False,False
20260111,noon,3310.58,3330.45,1.0,경기주택도시공사,경기주택도시공사,GH 경기주택도시공사,미래를 위한 공간,0.9,0.738,True,False
20260111,noon,3330.45,3347.19,1.0,이은지의가요광장,중반노래,KBS,이은지의가요광장,0.097,0.4944,False,False
20260111,noon,3510.73,3530.65,1.0,마리오아울렛,마리오아울렛,마리오아울렛,마리오아울렛,1.0,1.0,True,True
20260111,noon,3530.65,3550.69,1.0,수원여자대학교,수원여자대학교,수원여자대학교,교성리더양성,1.0,0.3156,True,False
20260111,noon,3550.69,3592.1,1.0,KBS쿨FM,하하의슈퍼라디오,KBS쿨FM,슈퍼라디오,1.0,0.9,True,True
20260111,noon,3592.1,3617.55,1.0,KBS,KBS플러스,,,0.0,0.0,False,False
20260111,noon,3617.55,3648.27,1.0,이은지의가요광장,후반송,이은지의가요광장,오프닝곡,1.0,0.6487,True,False
20260111,noon,3814.75,3834.46,1.0,메디힐,토너패드,메디힐,메디힐,1.0,0.4693,True,False
20260111,noon,3834.46,3874.3,1.0,한국수자원공사,캠페인,K-Water 한국수자원공사,캠페인,0.9,1.0,True,True
20260111,noon,3874.3,3894.72,1.0,신한,위기가정지원사업,신안,위기가정지원사업,0.9101,1.0,True,True
20260111,noon,3894.72,3914.72,1.0,일양약품,일양약품,보이는라디오,광고,0.3703,0.2978,False,False
20260111,noon,3914.72,3934.67,1.0,현대자동차,더 뉴 스타리아 라운지,현대자동차,더뉴스스타리아라운지,1.0,0.9561,True,True
20260111,noon,3934.67,3954.8,1.0,땅스부대찌개,땅스부대찌개,땅스,부대찌개,0.9,0.9,True,True
20260111,noon,3954.8,3974.69,1.0,보배반점,보배반점,보배,반정,0.9,0.7846,True,True
20260111,noon,5315.57,5335.5,1.0,경리나라,경리나라,격리회계 프로그램,격리나,0.5196,0.9291,False,True
20260111,noon,5335.5,5355.58,1.0,노원아트뮤지엄,인상파 전시,노원아트뮤지엄,인상파전시,1.0,0.965,True,True
20260111,noon,5355.58,5395.94,1.0,KBS쿨FM,하하의슈퍼라디오,KBS,하하의슈퍼라디오,0.9,1.0,True,True
20260111,noon,5395.94,5415.81,1.0,기프트인포,판촉물,,,0.0,0.0,False,False
20260111,noon,6662.14,6771.9,0.856,가요광장,협찬경품안내,가요광장,협찬경품안내,1.0,1.0,True,True
20260111,noon,7109.15,7129.48,1.0,성원애드피아,캘린더,성원에드피아,디지털인쇄,0.978,0.4012,True,False
20260111,noon,7129.48,7147.64,1.0,올리디아,올리디아,올리비아,저의라디오,0.8925,0.8422,True,True
20260111,noon,7147.64,7189.19,1.0,박명수의라디오쇼,박명수의라디오쇼,박명수의라디오쇼,오프닝곡,1.0,0.7234,True,False
