start,end,duration
137.73750566893423,395.96408163265306,258.2265759637188
575.7249886621315,836.9512925170068,261.22630385487525
1107.1485714285716,1576.106031746032,468.95746031746035
2131.0901587301587,2397.565986394558,266.4758276643993
2643.051700680272,2872.2809070294784,229.22920634920638
3117.319365079365,3364.54693877551,247.2275736961451
3615.260589569161,3827.2413605442175,211.98077097505666
4712.462766439909,4882.697324263038,170.23455782312976
5163.358185941042,5317.844172335601,154.4859863945585
5470.580317460317,5648.314195011338,177.73387755102067
5908.477006802722,6180.70231292517,272.2253061224483
6335.476371882086,6541.45768707483,205.98131519274375
6759.334058956916,6963.565532879819,204.2314739229032
